date,contract,hold,hold_change,volume
2024-05-20,JM2505,11,,17
2024-05-21,JM2505,15,4.0,5
2024-05-22,JM2505,18,3.0,21
2024-05-23,JM2505,22,4.0,13
2024-05-24,JM2505,36,14.0,30
2024-05-27,JM2505,38,2.0,11
2024-05-28,JM2505,57,19.0,35
2024-05-29,JM2505,83,26.0,67
2024-05-30,JM2505,90,7.0,18
2024-05-31,JM2505,94,4.0,21
2024-06-03,JM2505,95,1.0,14
2024-06-04,JM2505,118,23.0,40
2024-06-05,JM2505,115,-3.0,14
2024-06-06,JM2505,128,13.0,18
2024-06-07,JM2505,137,9.0,26
2024-06-11,JM2505,145,8.0,24
2024-06-12,JM2505,146,1.0,6
2024-06-13,JM2505,160,14.0,30
2024-06-14,JM2505,175,15.0,35
2024-06-17,JM2505,179,4.0,39
2024-06-18,JM2505,180,1.0,16
2024-06-19,JM2505,284,104.0,157
2024-06-20,JM2505,391,107.0,124
2024-06-21,JM2505,424,33.0,42
2024-06-24,JM2505,542,118.0,194
2024-06-25,JM2505,593,51.0,104
2024-06-26,JM2505,607,14.0,50
2024-06-27,JM2505,592,-15.0,157
2024-06-28,JM2505,597,5.0,24
2024-07-01,JM2505,616,19.0,51
2024-07-02,JM2505,636,20.0,75
2024-07-03,JM2505,638,2.0,35
2024-07-04,JM2505,638,0.0,12
2024-07-05,JM2505,647,9.0,47
2024-07-08,JM2505,641,-6.0,59
2024-07-09,JM2505,683,42.0,79
2024-07-10,JM2505,740,57.0,290
2024-07-11,JM2505,751,11.0,49
2024-07-12,JM2505,757,6.0,13
2024-07-15,JM2505,759,2.0,46
2024-07-16,JM2505,747,-12.0,28
2024-07-17,JM2505,795,48.0,88
2024-07-18,JM2505,934,139.0,454
2024-07-19,JM2505,980,46.0,139
2024-07-22,JM2505,1024,44.0,136
2024-07-23,JM2505,1148,124.0,210
2024-07-24,JM2505,1285,137.0,185
2024-07-25,JM2505,1389,104.0,285
2024-07-26,JM2505,1435,46.0,93
2024-07-29,JM2505,1533,98.0,192
2024-07-30,JM2505,1491,-42.0,128
2024-07-31,JM2505,1500,9.0,118
2024-08-01,JM2505,1506,6.0,130
2024-08-02,JM2505,1600,94.0,266
2024-08-05,JM2505,1669,69.0,402
2024-08-06,JM2505,1761,92.0,221
2024-08-07,JM2505,1791,30.0,112
2024-08-08,JM2505,1916,125.0,279
2024-08-09,JM2505,2056,140.0,433
2024-08-12,JM2505,2096,40.0,167
2024-08-13,JM2505,2234,138.0,340
2024-08-14,JM2505,2313,79.0,262
2024-08-15,JM2505,3250,937.0,1201
2024-08-16,JM2505,4057,807.0,1687
2024-08-19,JM2505,4798,741.0,1470
2024-08-20,JM2505,6058,1260.0,1844
2024-08-21,JM2505,7019,961.0,2142
2024-08-22,JM2505,7302,283.0,1558
2024-08-23,JM2505,8610,1308.0,2344
2024-08-26,JM2505,9660,1050.0,2989
2024-08-27,JM2505,9816,156.0,4049
2024-08-28,JM2505,10054,238.0,2521
2024-08-29,JM2505,9954,-100.0,2130
2024-08-30,JM2505,10548,594.0,2012
2024-09-02,JM2505,12239,1691.0,4241
2024-09-03,JM2505,12664,425.0,1971
2024-09-04,JM2505,14208,1544.0,4596
2024-09-05,JM2505,15513,1305.0,3764
2024-09-06,JM2505,17034,1521.0,4068
2024-09-09,JM2505,17325,291.0,4015
2024-09-10,JM2505,17024,-301.0,2007
2024-09-11,JM2505,17956,932.0,5314
2024-09-12,JM2505,17831,-125.0,2452
2024-09-13,JM2505,17065,-766.0,5328
2024-09-18,JM2505,17112,47.0,3308
2024-09-19,JM2505,17329,217.0,3653
2024-09-20,JM2505,17389,60.0,2808
2024-09-23,JM2505,19280,1891.0,4962
2024-09-24,JM2505,19826,546.0,6028
2024-09-25,JM2505,19540,-286.0,6765
2024-09-26,JM2505,20524,984.0,5922
2024-09-27,JM2505,23730,3206.0,12389
2024-09-30,JM2505,24514,784.0,12823
2024-10-08,JM2505,24512,-2.0,12387
2024-10-09,JM2505,24543,31.0,6674
2024-10-10,JM2505,24973,430.0,8224
2024-10-11,JM2505,25780,807.0,6947
2024-10-14,JM2505,27095,1315.0,7734
2024-10-15,JM2505,27248,153.0,8651
2024-10-16,JM2505,28378,1130.0,8248
2024-10-17,JM2505,28367,-11.0,11389
2024-10-18,JM2505,29031,664.0,9236
2024-10-21,JM2505,29502,471.0,6992
2024-10-22,JM2505,30413,911.0,7691
2024-10-23,JM2505,30616,203.0,7793
2024-10-24,JM2505,30646,30.0,6608
2024-10-25,JM2505,31118,472.0,5967
2024-10-28,JM2505,31854,736.0,10981
2024-10-29,JM2505,31466,-388.0,8140
2024-10-30,JM2505,31365,-101.0,6652
2024-10-31,JM2505,31913,548.0,6600
2024-11-01,JM2505,32421,508.0,6659
2024-11-04,JM2505,33529,1108.0,9711
2024-11-05,JM2505,33786,257.0,7078
2024-11-06,JM2505,35431,1645.0,11479
2024-11-07,JM2505,34636,-795.0,7519
2024-11-08,JM2505,36347,1711.0,11831
2024-11-11,JM2505,39980,3633.0,19161
2024-11-12,JM2505,42615,2635.0,17285
2024-11-13,JM2505,43437,822.0,11603
2024-11-14,JM2505,44987,1550.0,9223
2024-11-15,JM2505,45523,536.0,12896
2024-11-18,JM2505,46762,1239.0,13570
2024-11-19,JM2505,46825,63.0,12834
2024-11-20,JM2505,48926,2101.0,13796
2024-11-21,JM2505,50407,1481.0,18236
2024-11-22,JM2505,51365,958.0,24455
2024-11-25,JM2505,53964,2599.0,20801
2024-11-26,JM2505,59847,5883.0,19477
2024-11-27,JM2505,71435,11588.0,35482
2024-11-28,JM2505,73252,1817.0,21872
2024-11-29,JM2505,75470,2218.0,23841
2024-12-02,JM2505,78584,3114.0,28628
2024-12-03,JM2505,79863,1279.0,31812
2024-12-04,JM2505,95093,15230.0,57307
2024-12-05,JM2505,99587,4494.0,44922
2024-12-06,JM2505,102886,3299.0,40587
2024-12-09,JM2505,110025,7139.0,52086
2024-12-10,JM2505,116507,6482.0,117861
2024-12-11,JM2505,115861,-646.0,48535
2024-12-12,JM2505,122137,6276.0,69091
2024-12-13,JM2505,133721,11584.0,74911
2024-12-16,JM2505,146859,13138.0,80758
2024-12-17,JM2505,172307,25448.0,92644
2024-12-18,JM2505,222178,49871.0,153432
2024-12-19,JM2505,239266,17088.0,191993
2024-12-20,JM2505,228743,-10523.0,163643
2024-12-23,JM2505,240576,11833.0,144684
2024-12-24,JM2505,252587,12011.0,176437
2024-12-25,JM2505,253390,803.0,151183
2024-12-26,JM2505,260055,6665.0,155958
2024-12-27,JM2505,268139,8084.0,145023
2024-12-30,JM2505,265353,-2786.0,191377
2024-12-31,JM2505,264493,-860.0,204321
2025-01-02,JM2505,259254,-5239.0,174740
2025-01-03,JM2505,268507,9253.0,212419
2025-01-06,JM2505,263786,-4721.0,206940
2025-01-07,JM2505,283622,19836.0,210354
2025-01-08,JM2505,306145,22523.0,227315
2025-01-09,JM2505,313115,6970.0,205515
2025-01-10,JM2505,318354,5239.0,166844
2025-01-13,JM2505,321245,2891.0,269632
2025-01-14,JM2505,303727,-17518.0,176569
2025-01-15,JM2505,305418,1691.0,132833
2025-01-16,JM2505,309078,3660.0,327022
2025-01-17,JM2505,285029,-24049.0,237866
2025-01-20,JM2505,307311,22282.0,246664
2025-01-21,JM2505,289382,-17929.0,180364
2025-01-22,JM2505,294035,4653.0,153478
2025-01-23,JM2505,305505,11470.0,237070
2025-01-24,JM2505,292095,-13410.0,176823
2025-01-27,JM2505,270501,-21594.0,115204
2025-02-05,JM2505,302896,32395.0,149808
2025-02-06,JM2505,298142,-4754.0,189239
2025-02-07,JM2505,313874,15732.0,266967
2025-02-10,JM2505,311579,-2295.0,183276
2025-02-11,JM2505,324810,13231.0,206453
2025-02-12,JM2505,313757,-11053.0,139479
2025-02-13,JM2505,356899,43142.0,216120
2025-02-14,JM2505,348357,-8542.0,254891
2025-02-17,JM2505,358345,9988.0,241957
2025-02-18,JM2505,363940,5595.0,206082
2025-02-19,JM2505,370177,6237.0,170718
2025-02-20,JM2505,347835,-22342.0,348026
2025-02-21,JM2505,345138,-2697.0,298076
2025-02-24,JM2505,361381,16243.0,297699
2025-02-25,JM2505,379405,18024.0,277364
2025-02-26,JM2505,389710,10305.0,276260
2025-02-27,JM2505,385949,-3761.0,303208
2025-02-28,JM2505,388841,2892.0,260627
2025-03-03,JM2505,372565,-16276.0,407510
2025-03-04,JM2505,384105,11540.0,237961
2025-03-05,JM2505,420602,36497.0,336350
2025-03-06,JM2505,417077,-3525.0,262896
2025-03-07,JM2505,385029,-32048.0,287210
2025-03-10,JM2505,375648,-9381.0,298492
2025-03-11,JM2505,379713,4065.0,173358
2025-03-12,JM2505,374527,-5186.0,241726
2025-03-13,JM2505,365311,-9216.0,350059
