date,futures_settle,futures_close,spot_price,spot_source,basis,basis_rate,data_status
2024-05-20,1796.5,1810.0,,missing,,,futures_only
2024-05-21,1796.5,1790.0,,missing,,,futures_only
2024-05-22,1841.5,1847.0,,missing,,,futures_only
2024-05-23,1860.0,1853.5,,missing,,,futures_only
2024-05-24,1866.0,1867.0,,missing,,,futures_only
2024-05-27,1835.0,1855.0,,missing,,,futures_only
2024-05-28,1846.0,1811.0,,missing,,,futures_only
2024-05-29,1805.0,1820.0,,missing,,,futures_only
2024-05-30,1809.5,1790.0,,missing,,,futures_only
2024-05-31,1783.5,1785.0,,missing,,,futures_only
2024-06-03,1781.0,1780.5,,missing,,,futures_only
2024-06-04,1763.0,1765.5,,missing,,,futures_only
2024-06-05,1759.0,1751.0,,missing,,,futures_only
2024-06-06,1732.5,1732.0,,missing,,,futures_only
2024-06-07,1751.0,1738.0,,missing,,,futures_only
2024-06-11,1709.0,1709.0,,missing,,,futures_only
2024-06-12,1721.5,1731.5,,missing,,,futures_only
2024-06-13,1725.5,1732.0,,missing,,,futures_only
2024-06-14,1763.5,1777.5,,missing,,,futures_only
2024-06-17,1746.0,1743.5,,missing,,,futures_only
2024-06-18,1749.0,1720.5,,missing,,,futures_only
2024-06-19,1756.5,1744.0,,missing,,,futures_only
2024-06-20,1736.5,1733.5,,missing,,,futures_only
2024-06-21,1727.5,1714.5,,missing,,,futures_only
2024-06-24,1712.0,1704.0,,missing,,,futures_only
2024-06-25,1688.0,1691.0,,missing,,,futures_only
2024-06-26,1707.5,1724.0,,missing,,,futures_only
2024-06-27,1733.0,1725.0,,missing,,,futures_only
2024-06-28,1730.0,1729.0,,missing,,,futures_only
2024-07-01,1756.0,1770.0,,missing,,,futures_only
2024-07-02,1782.0,1786.0,,missing,,,futures_only
2024-07-03,1792.5,1797.0,,missing,,,futures_only
2024-07-04,1788.0,1783.5,,missing,,,futures_only
2024-07-05,1753.5,1732.0,,missing,,,futures_only
2024-07-08,1732.5,1725.0,,missing,,,futures_only
2024-07-09,1738.5,1736.5,,missing,,,futures_only
2024-07-10,1723.0,1697.0,,missing,,,futures_only
2024-07-11,1726.0,1728.0,,missing,,,futures_only
2024-07-12,1734.5,1731.5,,missing,,,futures_only
2024-07-15,1745.0,1739.0,,missing,,,futures_only
2024-07-16,1731.0,1735.0,,missing,,,futures_only
2024-07-17,1731.0,1712.5,,missing,,,futures_only
2024-07-18,1688.5,1705.0,,missing,,,futures_only
2024-07-19,1687.0,1681.0,,missing,,,futures_only
2024-07-22,1643.5,1626.5,,missing,,,futures_only
2024-07-23,1619.5,1600.0,,missing,,,futures_only
2024-07-24,1610.5,1605.0,,missing,,,futures_only
2024-07-25,1585.0,1570.0,,missing,,,futures_only
2024-07-26,1580.5,1580.5,,missing,,,futures_only
2024-07-29,1572.5,1563.0,,missing,,,futures_only
2024-07-30,1554.5,1525.0,,missing,,,futures_only
2024-07-31,1541.0,1548.0,,missing,,,futures_only
2024-08-01,1547.0,1533.0,,missing,,,futures_only
2024-08-02,1527.0,1536.0,,missing,,,futures_only
2024-08-05,1525.0,1534.5,,missing,,,futures_only
2024-08-06,1515.0,1509.0,,missing,,,futures_only
2024-08-07,1495.0,1488.0,,missing,,,futures_only
2024-08-08,1484.0,1455.0,,missing,,,futures_only
2024-08-09,1458.5,1444.0,,missing,,,futures_only
2024-08-12,1427.0,1407.0,,missing,,,futures_only
2024-08-13,1398.0,1377.5,,missing,,,futures_only
2024-08-14,1355.0,1340.0,,missing,,,futures_only
2024-08-15,1332.5,1350.5,,missing,,,futures_only
2024-08-16,1352.0,1325.0,,missing,,,futures_only
2024-08-19,1320.0,1336.0,,missing,,,futures_only
2024-08-20,1313.0,1310.5,,missing,,,futures_only
2024-08-21,1341.0,1360.0,,missing,,,futures_only
2024-08-22,1346.0,1334.5,,missing,,,futures_only
2024-08-23,1321.5,1314.5,,missing,,,futures_only
2024-08-26,1323.5,1361.5,,missing,,,futures_only
2024-08-27,1348.5,1368.0,,missing,,,futures_only
2024-08-28,1376.0,1377.5,,missing,,,futures_only
2024-08-29,1379.0,1372.0,,missing,,,futures_only
